BDV,Tan_Delta,Insulation_Resistance,Capacitance_Variation,Polarization_Index,DDF,Health_Status
33.7300602790728,3.7669871656071052,3308108303.8907156,0.20167781639557347,0.7021374754692765,1.2749837377226485,4
37.026280820073005,1.4491322556854946,4089537594.2982354,-3.1459228945914064,1.7921821660040549,4.207258861028125,2
21.496426276858237,1.5951178505338799,2439868369.8186526,-4.563548777613566,2.8079840417794895,0.1164619964497608,3
22.91220990462599,3.2890240311558463,3602475874.4340267,-4.856249573210876,2.9763063380796884,0.7732374115630306,3
32.61317410115114,0.12578210520518968,1637333940.9026318,7.099756268977913,3.4318052142005278,0.8149929960459129,3
15.891307368776662,1.111405230503765,3755497859.9620733,-4.107914573917486,1.8607364290898407,3.9018621662071893,4
35.651227362356195,2.0097203119301232,597694774.4721984,0.8040897200847947,2.923559710986735,4.031872165313024,3
51.83922785718445,0.2665035921979885,1586943629.2227654,-3.521870846045081,0.9344590082218865,4.118768608138954,4
41.145405333298086,3.7181681824267883,2246240580.012901,8.213868498821855,2.7348563723246397,1.1125613369983396,4
10.453021116011849,4.246811197678562,4768995010.890935,10.575917655599078,3.142966211155961,2.6697048777218044,4
20.901431334499698,2.278895105971571,1765950172.3976736,14.731387321295223,2.382617151646272,4.7885363652892625,4
61.54229459362503,2.2440623518683123,4156637159.036569,2.1876054139864154,0.6697123608364111,0.7606417079309157,4
15.041726449411502,3.852203525395329,2100590556.3107276,6.7999338762138155,2.6837959272840752,4.694079318638084,4
53.05896290561546,4.515478384439758,2779581400.496531,10.415664595095361,0.5497985411439472,2.7522217746384134,4
43.768814489138904,4.898390515542881,4200045494.786848,1.1499296732662252,2.416074057975445,1.4168382832126787,4
30.922101041507087,0.3034525762991896,1008810996.3771048,5.558449779176971,1.314348876308284,1.8771330429497988,3
10.238172763220156,0.35481843138814473,2383260515.174605,8.092229933693755,1.3052822079065178,1.6876777637678975,4
10.001849281408052,0.24941165808918062,3800463976.8141727,3.7674721731395007,3.0960406410893184,4.43598296313347,4
53.36435768892904,3.434340195726333,147543813.1962414,3.3909112204581486,1.3184649739819492,2.9638227929380734,3
69.85609473565415,3.975530727721303,1231741652.5027566,14.485273634229813,3.196283078173825,2.1057985043742904,4
17.5216988845028,4.633548206628278,695799234.4828405,1.7182663058210839,3.099253730745193,3.5413651826386086,4
67.44879461379762,0.39665977750555004,3676758357.3804207,14.442685693828807,1.6478414291447594,3.9178911247582233,4
64.91855586102197,1.4607115826127657,1215974768.4353569,12.268750694070228,2.2244948511452103,4.682016110730871,4
30.15130211707593,3.9309275728142627,3922779739.0031724,6.9641125716250905,2.7401811324409584,0.464770694492626,4
13.161893228117595,4.281004247024356,2742033480.2991934,-2.997820542616494,1.2824869023453291,4.827869708541938,4
27.22957765160235,4.16843104628793,4719020507.547402,-2.494128850050208,1.6126889571104521,3.748801228036022,4
12.530392287493363,3.028444109394358,3067272737.741085,5.154966410964505,3.2050091899092177,3.7075028565836816,4
38.802735628175405,3.688770119832631,2349426024.457274,-0.2806478637691807,1.1325585594540082,3.5233380164300416,4
12.504600758444228,0.23246406454670668,395208234.3240206,-2.3764442164508726,0.730375704798922,4.708209456284291,4
11.755871272461711,2.3864870214479095,4683866558.321506,7.632342064147551,1.8367776139579832,3.5054835201902135,4
62.48433800123771,2.364958943191238,4937268162.724859,-4.357441420946806,2.294509415210011,2.600072471222772,3
24.118596509399886,0.4525985221138298,271511221.90104175,1.8172320601807312,2.2032958666728466,4.511149496541963,3
21.317974287681817,0.5701440438329499,1837666765.2866933,-3.304740745571748,1.759317211010972,0.9920417419414559,3
47.492636952534205,1.0643364392845633,4125396934.010754,-0.38376919371911455,1.1349847353414297,3.783948917737728,3
24.29111684557497,1.916875304272207,2914462112.46092,2.3589252659549986,3.4907291287892623,0.59952737906376,3
67.18437404415496,4.715882954349852,2652826035.8802032,2.1912339218744386,1.9127540516786734,4.02693414540766,4
16.929679389789634,2.378864332212934,4161179285.6880097,12.192589918309903,1.9346107976055866,3.9925841098728045,4
42.47535836185372,1.7333486923328285,1780667456.1299129,9.718317412488211,1.4708667850891328,1.40982504701408,3
38.6329053554546,1.9605481444674373,3220458800.3370442,5.247297626632514,2.715918913079433,4.112822915135896,3
38.07785513848119,1.1809230345815205,663055385.0915117,13.028703564893846,1.0547260337366358,3.178588747339331,4
41.20675425603085,4.646725491709428,3579038285.849486,13.585435323388946,1.7515071042665982,2.158163385391757,4
35.553158305355616,4.524074904835589,2352084419.472772,13.588051403900256,1.77487248105085,1.744197477417556,4
28.484502093919744,0.24137561932491805,2485044101.7590694,13.314076365606404,2.004804545896254,4.410870662213001,4
16.89635614885562,0.4747143352059494,179010555.97561505,3.459485923719761,2.595631412867981,0.8370242412247593,4
29.073568382191223,1.0583113474390857,170094786.60914028,10.50771522148361,3.411713691129597,1.6767701127377153,4
41.15651248862415,2.560483099755934,2835368228.644701,-0.7560059780842749,1.0020280475711378,4.4126672342208195,3
38.61726159856756,4.1995965318149775,1008738351.294845,-1.8998459549425872,2.9565669771687064,1.3986164556821234,4
40.14890554482828,1.8224841617531138,4740321838.371475,11.26743178195257,1.6905885377598966,4.955407008216717,4
34.953439335447754,1.313046483044816,1801642609.847256,3.849237373958161,2.3220872961347045,0.8671415650115889,2
14.061919677557189,2.2889567403316695,4384328535.266604,11.612104993023696,2.0683623855769326,3.856051301820748,4
61.48520948526098,3.3784958182095295,195936746.29245067,7.4355775002095825,3.4803017229624724,4.387365314681523,3
56.348377100995904,3.1230231580596244,1137155364.1420047,-4.5620041437942405,1.1739789372113132,1.310945411184906,3
